,cost_for_two,cuisines,locality,rating,rest_name,votes
0,"1,500","['North Indian', 'European', 'Mediterranean', 'BBQ']",Marathahalli,4.8,The Black Pearl                                     ,12080
1,"1,300","['American', 'Continental', 'North Indian', 'Mediterranean']",Old Airport Road,4.6,Big Pitcher                                     ,11547
2,"2,000","['Continental', 'North Indian', 'Chinese', 'Pizza', 'Finger Food']",Koramangala 5th Block,4.6,XOOX Brewmill                                     ,3261
3,"1,600","['Continental', 'Asian', 'Italian', 'North Indian']",Marathahalli,4.9,TBC- Sky Lounge                                     ,6485
4,800,"['Chinese', 'North Indian', 'Fast Food', 'Finger Food', 'Italian']","The Sahar Pavilion, Electronic City",4,Dr. Sheesha 24 Hours Gastro Pub                                     ,230
5,"1,500","['North Indian', 'Continental', 'Chinese', 'Pizza', 'Beverages', 'Desserts']",Marathahalli,4.6,The Big Barbeque                                     ,2711
6,"1,600","['Finger Food', 'Fast Food', 'North Indian', 'Italian']",Hennur,4.9,Byg Brewski Brewing Company                                     ,10428
7,"1,600","['North Indian', 'European', 'Mediterranean', 'BBQ', 'Kebab']",Indiranagar,4.9,Barbeque Nation                                     ,10251
8,900,"['Cafe', 'American', 'Burger', 'Steak']",Koramangala 5th Block,4.5,Truffles                                     ,16526
9,"1,600","['European', 'Mediterranean', 'North Indian', 'BBQ']",Marathahalli,4.8,AB's - Absolute Barbecues                                     ,14822
10,"1,300","['Salad', 'North Indian', 'Fast Food', 'Continental']",Marathahalli,4.8,The Globe Grub                                     ,6819
11,"1,500","['Finger Food', 'North Indian', 'Continental', 'Pizza', 'Asian', 'Desserts']",JP Nagar,4.3,URU Brewpark                                     ,1628
12,"1,400","['Continental', 'Italian', 'North Indian']",Sarjapur Road,4.5,Hoot                                     ,11432
13,"1,850","['Bar Food', 'Asian', 'Italian', 'North Indian', 'South Indian']",JP Nagar,4.9,Brahma Brews                                     ,4009
14,"2,000","['Italian', 'American', 'Modern Indian']",Indiranagar,4.5,Toit                                     ,16262
15,"1,400","['North Indian', 'Continental', 'Seafood', 'Goan', 'Asian']",Sarjapur Road,4.3,The Fisherman's Wharf                                     ,4518
16,"2,400","['Continental', 'European', 'BBQ', 'Chinese', 'Asian']",Whitefield,4.9,Biergarten                                     ,9928
17,700,['Bakery'],Indiranagar,4.2,Magnolia Bakery                                     ,569
18,"2,000","['North Indian', 'Asian', 'Thai']",Barton Centre,4.3,The 13th Floor                                     ,4848
19,"1,350","['Finger Food', 'Continental', 'North Indian', 'Asian']",Indiranagar,4.3,Daddy                                     ,1093
20,"1,500","['Asian', 'Burmese', 'Bubble Tea', 'Salad', 'Tea', 'Desserts', 'Ice Cream', 'Beverages']",Indiranagar,4.6,Burma Burma                                     ,2613
21,"1,200","['North Indian', 'Mughlai']",Sarjapur Road,4.6,Masala Mandi                                     ,1104
22,"1,600","['Finger Food', 'North Indian', 'Continental', 'Chinese', 'Italian']",Whitefield,4.7,The Pallet                                     ,5710
23,450,"['South Indian', 'Biryani']",Jayanagar,4.2,Shivaji Military Hotel                                     ,3407
24,"1,400","['Asian', 'Mediterranean', 'North Indian', 'Desserts']",Marathahalli,4.5,Flechazo                                     ,8702
25,200,['South Indian'],Basaveshwara Nagar,3.6,TKS Iyengars                                     ,36
26,"2,000","['Continental', 'North Indian', 'Pizza', 'BBQ']",Koramangala 6th Block,4.6,The Bier Library                                     ,2833
27,"2,600","['Japanese', 'Thai', 'Chinese', 'Korean']",Sheraton Grand Bangalore Hotel at Brigade Gateway,4.1,High Ultra Lounge                                     ,0
